,portfolio,investment,cash
2020-08-07 09:15:00,217615.72430282994,216429.97484008997,1185.7494627399574
2020-08-10 09:15:00,220432.87305794994,167456.56742245998,52976.30563548996
2020-08-11 09:15:00,221525.3910847199,168549.08544922993,52976.30563548996
2020-08-12 09:15:00,222181.77376383,169205.46812834003,52976.30563548996
2020-08-13 09:15:00,224236.71298767993,170531.67227091998,53705.04071675996
2020-08-14 09:15:00,222659.0611090699,168954.02039230996,53705.04071675996
2020-08-17 09:15:00,224519.71275490994,170814.67203815,53705.04071675996
2020-08-18 09:15:00,226551.93723667998,172471.18707607003,54080.75016060996
2020-08-19 09:15:00,228428.99978630999,174348.24962570003,54080.75016060996
2020-08-20 09:15:00,229753.35050907,175672.60034846005,54080.75016060996
2020-08-21 09:15:00,232095.90322687995,181450.57128633,50645.331940549964
2020-08-24 09:15:00,234112.48591837997,183467.15397783,50645.331940549964
2020-08-25 09:15:00,234357.95313617995,183712.62119563,50645.331940549964
2020-08-26 09:15:00,235789.81451459992,234803.28251404993,986.532000549967
2020-08-27 09:15:00,236756.08776753995,235769.55576699,986.532000549967
2020-08-28 09:15:00,236345.81163868,235359.27963813004,986.532000549967
2020-08-31 09:15:00,229031.71193909005,174344.30509923009,54687.40683985997
2020-09-01 09:15:00,229538.83298595002,174851.42614609006,54687.40683985997
2020-09-02 09:15:00,232032.13210328997,177344.72526343,54687.40683985997
2020-09-03 09:15:00,232901.70520331996,178593.72921015,54307.975993169974
2020-09-04 09:15:00,230566.59558713995,176258.61959396998,54307.975993169974
2020-09-07 09:15:00,229798.90363419,175490.92764102004,54307.975993169974
2020-09-08 09:15:00,227709.74615506994,176576.51115858997,51133.23499647997
2020-09-09 09:15:00,225955.54080711,174822.30581063003,51133.23499647997
2020-09-10 09:15:00,227925.09708963,176791.86209315003,51133.23499647997
2020-09-11 09:15:00,228733.293934,177180.50581255002,51552.78812144997
2020-09-14 09:15:00,233086.65905443,181533.87093298003,51552.78812144997
2020-09-15 09:15:00,233620.22887137,232883.14080992003,737.0880614499692
2020-09-16 09:15:00,234117.66090826993,181964.85683091998,52152.80407734997
2020-09-17 09:15:00,233235.46644836996,181082.66237101998,52152.80407734997
2020-09-18 09:15:00,233062.19288910006,180909.38881175008,52152.80407734997
2020-09-21 09:15:00,226932.71275825996,176929.66692908,50003.045829179966
2020-09-22 09:15:00,224903.43468146,174900.38885228004,50003.045829179966
2020-09-23 09:15:00,225464.65137639994,175461.60554721998,50003.045829179966
2020-09-24 09:15:00,221231.7754661699,172872.39853490994,48359.37693125997
2020-09-25 09:15:00,225877.06154083,177517.68460957005,48359.37693125997
2020-09-28 09:15:00,229823.0353276099,181463.65839634993,48359.37693125997
2020-09-29 09:15:00,229400.19054610998,176675.00242911,52725.18811699997
2020-09-30 09:15:00,229648.83470431,176923.64658731,52725.18811699997
2020-10-01 09:15:00,230801.02096785,178075.83285085,52725.18811699997
2020-10-05 09:15:00,231649.02413103994,179874.71865007997,51774.30548095997
2020-10-06 09:15:00,230969.68847181997,229852.78293086,1116.9055409599678
2020-10-07 09:15:00,231139.66041417996,230022.75487322,1116.9055409599678
2020-10-08 09:15:00,230913.8580540599,175480.40424791994,55433.453806139965
2020-10-09 09:15:00,230496.54447766,175063.09067152004,55433.453806139965
2020-10-12 09:15:00,228475.42641977998,173041.97261364,55433.453806139965
2020-10-13 09:15:00,227930.44837107006,174894.5159072301,53035.93246383996
2020-10-14 09:15:00,228344.28749000997,175308.35502617,53035.93246383996
2020-10-15 09:15:00,225825.10893442,172789.17647058002,53035.93246383996
2020-10-16 09:15:00,227986.26077197996,175450.53240373,52535.72836824996
2020-10-19 09:15:00,230513.01788404997,177977.28951580002,52535.72836824996
2020-10-20 09:15:00,230864.5427911,178328.81442285003,52535.72836824996
2020-10-21 09:15:00,231561.6604988,177485.94742879004,54075.71307000996
2020-10-22 09:15:00,232641.11378696995,178565.40071696,54075.71307000996
2020-10-23 09:15:00,233256.00272729993,179180.28965728998,54075.71307000996
2020-10-26 09:15:00,230419.78675270997,230221.82373270002,197.96302000995638
2020-10-27 09:15:00,230367.65609023,230169.69307022006,197.96302000995638
2020-10-28 09:15:00,228571.07187447994,228373.10885447,197.96302000995638
2020-10-29 09:15:00,227813.98652485004,178248.2897838401,49565.69674100995
2020-10-30 09:15:00,228157.94802693994,178592.25128593,49565.69674100995
2020-11-02 09:15:00,227691.05605135995,178125.35931035,49565.69674100995
2020-11-03 09:15:00,228697.99086663994,181925.32182705,46772.66903958995
2020-11-04 09:15:00,228630.01537158986,181857.34633199993,46772.66903958995
2020-11-05 09:15:00,231901.54141093994,185128.87237135,46772.66903958995
